product_name,category,price
Смартфон Apple iPhone 15 Pro,Електроніка,49999.0
Смартфон Samsung Galaxy S24 Ultra,Електроніка,45999.0
Смартфон Xiaomi Redmi Note 13,Електроніка,9500.0
Ноутбук Asus ZenBook 14,Електроніка,39999.0
Ноутбук Apple MacBook Air M3,Електроніка,54999.0
Ноутбук Lenovo IdeaPad Gaming,Електроніка,29999.0
Планшет Apple iPad Air,Електроніка,26500.0
Smart-годинник Apple Watch 9,Електроніка,18500.0
Smart-годинник Xiaomi Smart Band 8,Електроніка,1690.0
Навушники AirPods Pro 2,Електроніка,9999.0
Навушники Sony WH-1000XM5,Електроніка,14500.0
Ігрова консоль Sony PlayStation 5,Електроніка,22499.0
Кавомашина DeLonghi Magnifica,Побутова техніка,17999.0
Електрочайник Bosch,Побутова техніка,1850.0
Блендер Tefal,Побутова техніка,2300.0
Робот-пилосос RoboRock,Побутова техніка,13999.0
Мікрохвильова піч Samsung,Побутова техніка,4200.0
Мультиварка Philips,Побутова техніка,3999.0
Тостер Braun,Побутова техніка,1450.0
Зимова куртка Columbia,Одяг,6500.0
Джинси Levi's 501,Одяг,2900.0
Кросівки Nike Air Max,Одяг,4200.0
Кросівки Adidas Originals,Одяг,3800.0
Футболка Puma Classic,Одяг,850.0
Спортивний костюм Under Armour,Одяг,3200.0
Худі Reebok,Одяг,1950.0
Художня книга 'Дюна',Книги,450.0
Підручник 'Чистий Код' (Роберт Мартін),Книги,680.0
Підручник з SQL для аналітиків,Книги,550.0
Книга 'Атомні звички',Книги,390.0
Історія України (Ярослав Грицак),Книги,480.0
Біографія Стіва Джобса,Книги,520.0
